วันที่,ภาค,ผู้ดูแล,รหัสร้าน,ชื่อสาขา,ยอดขาย
2026-08-01,ภาคใต้,ส่วนกลาง,B083-01,บางกุ้ง(สุราษฎร์ธานี)083-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B084,ปัตตานี084,49249.52
2026-08-01,ภาคใต้,ส่วนกลาง,B084-01,ปัตตานี084-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B085,สงขลา085,67643.95
2026-08-01,ภาคใต้,ส่วนกลาง,B085-01,สงขลา085-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B104,นราธิวาส104,40989.71
2026-08-01,ภาคใต้,ส่วนกลาง,B104-01,นราธิวาส104-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B105,ยะลา105,59513.1
2026-08-01,ภาคใต้,ส่วนกลาง,B105-01,ยะลา105-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B118,คลองแห(หาดใหญ่)118,38138.33
2026-08-01,ภาคใต้,ส่วนกลาง,B118-01,คลองแห(หาดใหญ่)118-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B134,หลังสวน(ชุมพร)134,32028.01
2026-08-01,ภาคใต้,ส่วนกลาง,B135,ไชยา(สุราษฎร์ธานี)135,19286.92
2026-08-01,ภาคใต้,ส่วนกลาง,B137,สิชล(นครศรีธรรมราช)137,53518.69
2026-08-01,ภาคใต้,ส่วนกลาง,B137-01,สิชล(นครศรีธรรมราช)137-01,0.0
2026-08-01,ภาคใต้,ส่วนกลาง,B138,สตูล138,43217.75
2026-08-01,ภาคใต้,ส่วนกลาง,B147,ระนอง147,29066.36
2026-08-01,ภาคใต้,ส่วนกลาง,B148,ประจวบคีรีขันธ์148,32118.22
2026-08-01,ภาคใต้,ส่วนกลาง,B149,หัวหิน(ประจวบคีรีขันธ์)149,11009.36
